killed_by,kill_distance,killer_placement,killer_name,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,extra
M762,#3,2,Ftbox_NkEr,418835.1875,581084.875,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pdJZF_t7bWpaUIWyxl7qBFUsvOB6QoRe8F2XSs6JbSe2qRi4-HT1HvJfYbW8-XLOW15BiHDuEy-c1dzVgd07EtyTMAV5bq7NrphZ-IQcmMnxg_rHDmQp9jw=,2023-02-28 06:52:58,CHOONSIK-,#3,418281,582560.625,08:15 01|||CHOONSIK-|||(#3)|||M762 (16m)|||victim|||418281|||582560.625|||CHOONSIK-|||killer|||418835.1875|||581084.875|||me
SLR,#5,2,Ftbox_NkEr,353895.46875,652553.9375,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pdJZF_t7bWpaUIWyxl7qBFUsvOB6QoRe8F2XSs6JbSe2qRi4-HT1HvJfYbW8-XLOW15BiHDuEy-c1dzVgd07EtyTMAV5bq7NrphZ-IQcmMnxg_rHDmQp9jw=,2023-02-28 06:52:58,zhaogehenlihai,#5,344370.96875,654164.4375,13:01 02|||zhaogehenlihai|||(#5)|||SLR (97m)|||victim|||344370.96875|||654164.4375|||zhaogehenlihai|||killer|||353895.46875|||652553.9375|||me
death.WeapACE32_C,#8,,banitoudianlan,352581.90625,652089.25,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pdJZF_t7bWpaUIWyxl7qBFUsvOB6QoRe8F2XSs6JbSe2qRi4-HT1HvJfYbW8-XLOW15BiHDuEy-c1dzVgd07EtyTMAV5bq7NrphZ-IQcmMnxg_rHDmQp9jw=,2023-02-28 06:52:58,Ftbox_NkEr,2,353005.875,651065.5,17:37 killer|||banitoudianlan|||(#8)|||death.WeapACE32_C (11m)|||victim|||353005.875|||651065.5|||me|||killer|||352581.90625|||652089.25|||banitoudianlan
SLR,#10,4,Ftbox_NkEr,365451.25,713106.25,https://opgg-pubg-static.akamaized.net/images/map/tiger/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pb4BJ8wqv-Heb0SkluvfKPa03sWjKBoDmjquhalevhuc1buPIydzAnPL5bkH6souc5SN2iHmVz5yu_n2Q4NWgddrL7EtZ_zBFpdbOVfzXoPgXeemBgOyVEo=,2023-02-28 06:24:09,Hi-SpQ,#10,350548,674032.5,12:34 01|||Hi-SpQ|||(#10)|||SLR (418m)|||victim|||350548|||674032.5|||Hi-SpQ|||killer|||365451.25|||713106.25|||me
M762,#15,4,Ftbox_NkEr,310182.8125,690594.9375,https://opgg-pubg-static.akamaized.net/images/map/tiger/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pb4BJ8wqv-Heb0SkluvfKPa03sWjKBoDmjquhalevhuc1buPIydzAnPL5bkH6souc5SN2iHmVz5yu_n2Q4NWgddrL7EtZ_zBFpdbOVfzXoPgXeemBgOyVEo=,2023-02-28 06:24:09,EVE-GL,#15,308885.875,688017.125,18:39 02|||EVE-GL|||(#15)|||M762 (29m)|||victim|||308885.875|||688017.125|||EVE-GL|||killer|||310182.8125|||690594.9375|||me
Grenade,#15,4,Ftbox_NkEr,310182.8125,690594.9375,https://opgg-pubg-static.akamaized.net/images/map/tiger/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pb4BJ8wqv-Heb0SkluvfKPa03sWjKBoDmjquhalevhuc1buPIydzAnPL5bkH6souc5SN2iHmVz5yu_n2Q4NWgddrL7EtZ_zBFpdbOVfzXoPgXeemBgOyVEo=,2023-02-28 06:24:09,ZHUXIANGPENGYU,#15,306003.0625,687857.4375,18:39 03|||ZHUXIANGPENGYU|||(#15)|||Grenade (50m)|||victim|||306003.0625|||687857.4375|||ZHUXIANGPENGYU|||killer|||310182.8125|||690594.9375|||me
M416,#3,,Dll_gentle,314070.6875,677994.5,https://opgg-pubg-static.akamaized.net/images/map/tiger/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pb4BJ8wqv-Heb0SkluvfKPa03sWjKBoDmjquhalevhuc1buPIydzAnPL5bkH6souc5SN2iHmVz5yu_n2Q4NWgddrL7EtZ_zBFpdbOVfzXoPgXeemBgOyVEo=,2023-02-28 06:24:09,Ftbox_NkEr,4,314556.90625,678702.375,22:19 killer|||Dll_gentle|||(#3)|||M416 (9m)|||victim|||314556.90625|||678702.375|||me|||killer|||314070.6875|||677994.5|||Dll_gentle
SLR,#6,1,Ftbox_NkEr,181723.5625,387956.90625,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pXmIjwMI_loMcuet_vMtb-U-lE04RyDgl8bFMHrR_uGApZeKgjDa3uvXAKqs9fS5ZDwNX6VvxC1YT8PXYJKDcRLXeLS8qnp_SaiaMAFIvTR7qrk3KjfeJoE=,2023-02-28 05:57:53,CCTV_Kzm,#6,196443.015625,380472.90625,11:29 01|||CCTV_Kzm|||(#6)|||SLR (165m)|||victim|||196443.015625|||380472.90625|||CCTV_Kzm|||killer|||181723.5625|||387956.90625|||me
SLR,#6,1,Ftbox_NkEr,145025.875,421365.3125,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pXmIjwMI_loMcuet_vMtb-U-lE04RyDgl8bFMHrR_uGApZeKgjDa3uvXAKqs9fS5ZDwNX6VvxC1YT8PXYJKDcRLXeLS8qnp_SaiaMAFIvTR7qrk3KjfeJoE=,2023-02-28 05:57:53,tan9572,#6,149684.890625,436893.90625,21:21 02|||tan9572|||(#6)|||SLR (162m)|||victim|||149684.890625|||436893.90625|||tan9572|||killer|||145025.875|||421365.3125|||me
M762,#2,1,Ftbox_NkEr,132552.5,399310.78125,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pXmIjwMI_loMcuet_vMtb-U-lE04RyDgl8bFMHrR_uGApZeKgjDa3uvXAKqs9fS5ZDwNX6VvxC1YT8PXYJKDcRLXeLS8qnp_SaiaMAFIvTR7qrk3KjfeJoE=,2023-02-28 05:57:53,meituan8848,#2,133870.859375,401584.375,24:08 03|||meituan8848|||(#2)|||M762 (26m)|||victim|||133870.859375|||401584.375|||meituan8848|||killer|||132552.5|||399310.78125|||me
